@relation whatever

@attribute f11ang0 numeric
@attribute f11ang15 numeric
@attribute f11ang30 numeric
@attribute f11ang45 numeric
@attribute f11ang60 numeric
@attribute f11ang75 numeric
@attribute f11ang90 numeric
@attribute f11ang105 numeric
@attribute f11ang120 numeric
@attribute f11ang135 numeric
@attribute f11ang150 numeric
@attribute f11ang165 numeric
@attribute f12ang0 numeric
@attribute f12ang15 numeric
@attribute f12ang30 numeric
@attribute f12ang45 numeric
@attribute f12ang60 numeric
@attribute f12ang75 numeric
@attribute f12ang90 numeric
@attribute f12ang105 numeric
@attribute f12ang120 numeric
@attribute f12ang135 numeric
@attribute f12ang150 numeric
@attribute f12ang165 numeric
@attribute f13ang0 numeric
@attribute f13ang15 numeric
@attribute f13ang30 numeric
@attribute f13ang45 numeric
@attribute f13ang60 numeric
@attribute f13ang75 numeric
@attribute f13ang90 numeric
@attribute f13ang105 numeric
@attribute f13ang120 numeric
@attribute f13ang135 numeric
@attribute f13ang150 numeric
@attribute f13ang165 numeric
@attribute f21ang0 numeric
@attribute f21ang15 numeric
@attribute f21ang30 numeric
@attribute f21ang45 numeric
@attribute f21ang60 numeric
@attribute f21ang75 numeric
@attribute f21ang90 numeric
@attribute f21ang105 numeric
@attribute f21ang120 numeric
@attribute f21ang135 numeric
@attribute f21ang150 numeric
@attribute f21ang165 numeric
@attribute f22ang0 numeric
@attribute f22ang15 numeric
@attribute f22ang30 numeric
@attribute f22ang45 numeric
@attribute f22ang60 numeric
@attribute f22ang75 numeric
@attribute f22ang90 numeric
@attribute f22ang105 numeric
@attribute f22ang120 numeric
@attribute f22ang135 numeric
@attribute f22ang150 numeric
@attribute f22ang165 numeric
@attribute f23ang0 numeric
@attribute f23ang15 numeric
@attribute f23ang30 numeric
@attribute f23ang45 numeric
@attribute f23ang60 numeric
@attribute f23ang75 numeric
@attribute f23ang90 numeric
@attribute f23ang105 numeric
@attribute f23ang120 numeric
@attribute f23ang135 numeric
@attribute f23ang150 numeric
@attribute f23ang165 numeric
@attribute f31ang0 numeric
@attribute f31ang15 numeric
@attribute f31ang30 numeric
@attribute f31ang45 numeric
@attribute f31ang60 numeric
@attribute f31ang75 numeric
@attribute f31ang90 numeric
@attribute f31ang105 numeric
@attribute f31ang120 numeric
@attribute f31ang135 numeric
@attribute f31ang150 numeric
@attribute f31ang165 numeric
@attribute f32ang0 numeric
@attribute f32ang15 numeric
@attribute f32ang30 numeric
@attribute f32ang45 numeric
@attribute f32ang60 numeric
@attribute f32ang75 numeric
@attribute f32ang90 numeric
@attribute f32ang105 numeric
@attribute f32ang120 numeric
@attribute f32ang135 numeric
@attribute f32ang150 numeric
@attribute f32ang165 numeric
@attribute f33ang0 numeric
@attribute f33ang15 numeric
@attribute f33ang30 numeric
@attribute f33ang45 numeric
@attribute f33ang60 numeric
@attribute f33ang75 numeric
@attribute f33ang90 numeric
@attribute f33ang105 numeric
@attribute f33ang120 numeric
@attribute f33ang135 numeric
@attribute f33ang150 numeric
@attribute f33ang165 numeric
@attribute Class { jump , run , side , skip , walk }

@data
350 , 212 , 146 , 112 , 84 , 93 , 122 , 117 , 118 , 165 , 197 , 248 , 308 , 189 , 130 , 74 , 26 , 24 , 25 , 20 , 20 , 59 , 120 , 184 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 612 , 477 , 395 , 313 , 217 , 211 , 212 , 186 , 183 , 270 , 344 , 437 , 386 , 231 , 154 , 90 , 41 , 43 , 46 , 50 , 61 , 132 , 211 , 287 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 405 , 296 , 208 , 133 , 66 , 65 , 65 , 56 , 52 , 98 , 153 , 225 , 361 , 259 , 215 , 183 , 146 , 164 , 188 , 159 , 139 , 168 , 183 , 227 , 210 , 193 , 190 , 177 , 133 , 123 , 106 , 83 , 74 , 93 , 114 , 145 , ?
40 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 23 , 797 , 712 , 649 , 590 , 512 , 512 , 524 , 492 , 492 , 571 , 629 , 702 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 78 , 28 , 3 , 7 , 19 , 31 , 52 , 69 , 78 , 75 , 68 , 77 , 931 , 769 , 670 , 594 , 515 , 523 , 556 , 550 , 554 , 651 , 736 , 824 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 19 , 15 , 12 , 6 , 0 , 0 , 0 , 0 , 0 , 3 , 4 , 7 , 640 , 579 , 514 , 434 , 346 , 334 , 304 , 280 , 269 , 318 , 381 , 464 , 424 , 322 , 261 , 207 , 147 , 137 , 131 , 138 , 148 , 220 , 281 , 336 , ?
25 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14 , 851 , 776 , 717 , 677 , 608 , 602 , 613 , 575 , 577 , 647 , 693 , 762 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 28 , 15 , 10 , 10 , 17 , 34 , 76 , 83 , 84 , 77 , 41 , 31 , 1083 , 935 , 854 , 792 , 718 , 732 , 758 , 721 , 704 , 785 , 853 , 941 , 42 , 15 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10 , 24 , 15 , 15 , 21 , 17 , 5 , 3 , 3 , 0 , 0 , 1 , 1 , 3 , 460 , 439 , 428 , 421 , 360 , 345 , 334 , 307 , 291 , 309 , 325 , 358 , 402 , 385 , 359 , 305 , 230 , 218 , 204 , 199 , 192 , 220 , 247 , 291 , ?
62 , 13 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 22 , 44 , 792 , 757 , 701 , 638 , 543 , 528 , 531 , 485 , 470 , 531 , 582 , 654 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 53 , 22 , 14 , 14 , 34 , 61 , 115 , 105 , 79 , 69 , 57 , 54 , 934 , 840 , 773 , 730 , 654 , 662 , 691 , 640 , 625 , 697 , 749 , 830 , 24 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 94 , 84 , 75 , 49 , 24 , 20 , 19 , 10 , 7 , 12 , 21 , 38 , 401 , 379 , 378 , 338 , 261 , 234 , 213 , 208 , 223 , 245 , 267 , 298 , 451 , 463 , 464 , 410 , 316 , 275 , 233 , 224 , 234 , 279 , 310 , 350 , ?
170 , 104 , 73 , 51 , 33 , 37 , 50 , 50 , 52 , 93 , 125 , 155 , 703 , 625 , 571 , 518 , 410 , 392 , 392 , 336 , 317 , 372 , 432 , 516 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 131 , 73 , 57 , 61 , 83 , 118 , 178 , 142 , 116 , 117 , 112 , 112 , 916 , 815 , 758 , 706 , 625 , 631 , 658 , 601 , 584 , 646 , 691 , 765 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 568 , 498 , 435 , 363 , 274 , 262 , 243 , 219 , 211 , 271 , 342 , 418 , 88 , 64 , 43 , 33 , 18 , 14 , 14 , 3 , 1 , 1 , 6 , 17 , 386 , 419 , 446 , 411 , 315 , 267 , 217 , 197 , 199 , 226 , 253 , 292 , ?
272 , 175 , 146 , 122 , 94 , 100 , 118 , 118 , 118 , 154 , 183 , 214 , 522 , 445 , 402 , 333 , 272 , 261 , 261 , 213 , 193 , 205 , 267 , 348 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 231 , 132 , 101 , 90 , 84 , 93 , 136 , 126 , 117 , 146 , 159 , 171 , 528 , 447 , 409 , 389 , 338 , 340 , 360 , 305 , 303 , 360 , 385 , 433 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 813 , 714 , 632 , 555 , 465 , 458 , 452 , 445 , 441 , 522 , 591 , 666 , 43 , 43 , 49 , 71 , 54 , 45 , 45 , 21 , 15 , 15 , 15 , 21 , 275 , 306 , 332 , 353 , 292 , 249 , 197 , 165 , 159 , 176 , 195 , 217 , ?
356 , 217 , 176 , 154 , 129 , 136 , 145 , 147 , 152 , 194 , 214 , 246 , 385 , 306 , 246 , 195 , 136 , 128 , 128 , 95 , 84 , 110 , 152 , 232 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 333 , 212 , 167 , 138 , 123 , 140 , 178 , 177 , 172 , 201 , 207 , 237 , 513 , 381 , 302 , 241 , 187 , 196 , 230 , 219 , 232 , 317 , 379 , 438 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 822 , 670 , 583 , 511 , 431 , 430 , 433 , 440 , 449 , 548 , 633 , 728 , 88 , 92 , 102 , 138 , 155 , 160 , 161 , 103 , 76 , 63 , 54 , 63 , 250 , 256 , 263 , 266 , 244 , 230 , 192 , 158 , 148 , 157 , 179 , 205 , ?
379 , 270 , 220 , 188 , 153 , 163 , 182 , 183 , 178 , 217 , 249 , 289 , 334 , 248 , 181 , 117 , 66 , 61 , 61 , 44 , 39 , 67 , 114 , 182 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 560 , 394 , 310 , 242 , 201 , 210 , 231 , 223 , 220 , 274 , 354 , 446 , 413 , 217 , 144 , 108 , 83 , 93 , 118 , 119 , 126 , 185 , 243 , 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 826 , 636 , 541 , 467 , 388 , 401 , 436 , 428 , 431 , 530 , 615 , 715 , 112 , 106 , 106 , 128 , 142 , 173 , 192 , 146 , 117 , 101 , 81 , 89 , 211 , 214 , 216 , 217 , 192 , 188 , 162 , 131 , 118 , 122 , 136 , 161 , ?
451 , 309 , 232 , 184 , 149 , 158 , 182 , 185 , 190 , 234 , 286 , 349 , 387 , 260 , 169 , 91 , 39 , 37 , 37 , 28 , 25 , 56 , 114 , 203 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 573 , 437 , 355 , 271 , 202 , 193 , 196 , 172 , 168 , 228 , 309 , 407 , 275 , 153 , 94 , 50 , 16 , 19 , 28 , 28 , 30 , 85 , 153 , 215 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 669 , 495 , 394 , 300 , 196 , 197 , 205 , 193 , 191 , 288 , 376 , 477 , 164 , 117 , 98 , 108 , 110 , 130 , 170 , 130 , 110 , 108 , 98 , 112 , 158 , 141 , 139 , 150 , 131 , 135 , 125 , 92 , 77 , 81 , 84 , 105 , ?
64 , 27 , 9 , 4 , 1 , 3 , 10 , 10 , 11 , 29 , 46 , 54 , 646 , 568 , 514 , 449 , 368 , 361 , 365 , 331 , 329 , 407 , 477 , 553 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 166 , 112 , 103 , 109 , 89 , 86 , 86 , 74 , 62 , 65 , 78 , 116 , 756 , 592 , 500 , 424 , 347 , 354 , 383 , 386 , 399 , 506 , 591 , 665 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 30 , 30 , 33 , 34 , 17 , 18 , 20 , 12 , 8 , 9 , 7 , 12 , 709 , 643 , 565 , 488 , 395 , 398 , 425 , 381 , 368 , 427 , 478 , 558 , 156 , 142 , 141 , 145 , 122 , 123 , 115 , 87 , 74 , 81 , 92 , 115 , ?
